tradeTime,cusip,issueSymbolIdentifier,priceType,reportingSideCode,contraPartyTypeCode,tradeDate,reportedTradeVolume,lastSaleYield,lastSalePrice
08:00:04,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366456,98.0625
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.363832,98.10546875
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.364548,98.09375
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.364548,98.09375
08:00:04,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.364548,98.09375
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366575,98.060546875
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366575,98.060546875
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366575,98.060546875
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.364548,98.09375
08:00:04,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.36264,98.125
08:00:04,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361449,98.14453125
08:00:04,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.358471,98.193359375
08:00:04,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.358471,98.193359375
08:00:04,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.358471,98.193359375
08:00:04,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.358471,98.193359375
08:00:07,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.353235,98.279296875
08:00:07,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.353116,98.28125
08:00:07,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.352165,98.296875
08:00:07,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.363713,98.107421875
08:00:07,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36264,98.125
08:00:07,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.364667,98.091796875
08:00:07,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.359781,98.171875
08:00:07,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.359781,98.171875
08:00:07,912810TX6,TSRYS5743665,D,S,C,2024-03-28,1000000.00,4.361925,98.13671875
08:00:07,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.362402,98.12890625
08:00:07,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.368007,98.037109375
08:00:07,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.368007,98.037109375
08:00:07,912810TX6,TSRYS5743665,D,S,D,2024-03-28,100000.00,4.366217,98.06640625
08:00:07,912810TX6,TSRYS5743665,D,B,C,2024-03-28,1575000.00,4.363117,98.1171875
08:00:07,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36264,98.125
08:00:15,912810TX6,TSRYS5743665,D,S,D,2024-03-28,16000000.00,4.362158,98.13291
08:00:15,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36264,98.125
08:00:16,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,,97.22176
08:00:16,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.365979,98.0703125
08:00:16,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.364786,98.08984375
08:00:16,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366456,98.0625
08:00:16,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366456,98.0625
08:00:16,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366456,98.0625
08:00:17,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366456,98.0625
08:00:17,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366694,98.05859375
08:00:17,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366694,98.05859375
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.360734,98.15625
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.360734,98.15625
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,B,C,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,B,C,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,B,C,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,B,C,2024-03-28,3000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,3000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,B,C,2024-03-28,1000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,3000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,B,C,2024-03-28,3000000.00,4.36741,98.046875
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366456,98.0625
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366456,98.0625
08:00:18,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366456,98.0625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.365502,98.078125
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.364548,98.09375
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36264,98.125
08:00:23,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.356923,98.21875
08:00:23,912810TX6,TSRYS5743665,D,S,C,2024-03-28,1000000.00,4.353116,98.28125
08:00:24,912810TX6,TSRYS5743665,D,S,C,2024-03-28,1000000.00,4.353116,98.28125
08:00:24,912810TX6,TSRYS5743665,D,S,C,2024-03-28,2000000.00,4.353116,98.28125
08:00:24,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366456,98.0625
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366456,98.0625
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.356923,98.21875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.352165,98.296875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.350501,98.32421875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.350382,98.326171875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.350382,98.326171875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.350382,98.326171875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.357399,98.2109375
08:00:24,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.355019,98.25
08:00:24,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.352165,98.296875
08:00:24,912810TX6,TSRYS5743665,D,B,C,2024-03-28,1000000.00,4.365502,98.078125
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.365502,98.078125
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.360734,98.15625
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.360734,98.15625
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.358828,98.1875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.358828,98.1875
08:00:24,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.357876,98.203125
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.357876,98.203125
08:00:24,912810TX6,TSRYS5743665,D,B,C,2024-03-28,1000000.00,4.359781,98.171875
08:00:24,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.359543,98.17578125
08:00:24,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.359781,98.171875
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36264,98.125
08:00:24,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36264,98.125
08:00:25,912810TX6,TSRYS5743665,D,S,A,2024-03-28,500000.00,4.361449,98.14453125
08:00:25,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.36264,98.125
08:00:26,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.353592,98.2734375
08:00:26,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.355019,98.25
08:00:26,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.355019,98.25
08:00:26,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.355019,98.25
08:00:26,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.355019,98.25
08:00:26,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.35383,98.26953125
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.352165,98.296875
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.352165,98.296875
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.352641,98.2890625
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.356209,98.23046875
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.356209,98.23046875
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366694,98.05859375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366694,98.05859375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366694,98.05859375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366694,98.05859375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366694,98.05859375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366694,98.05859375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.364548,98.09375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.364548,98.09375
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.365263,98.08203125
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.365263,98.08203125
08:00:27,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.365263,98.08203125
08:00:28,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.362879,98.12109375
08:00:28,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.357399,98.2109375
08:00:28,912810TX6,TSRYS5743665,D,S,D,2024-03-28,2000000.00,4.35859,98.19140625
08:00:29,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.357876,98.203125
08:00:29,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.357876,98.203125
08:00:29,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.360972,98.15234375
08:00:29,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.359543,98.17578125
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.361687,98.140625
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.364548,98.09375
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.366694,98.05859375
08:00:30,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366694,98.05859375
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36741,98.046875
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36741,98.046875
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36741,98.046875
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.36741,98.046875
08:00:30,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.359543,98.17578125
08:00:30,912810TX6,TSRYS5743665,D,S,D,2024-03-28,1000000.00,4.366456,98.0625
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.365502,98.078125
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.365502,98.078125
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.365502,98.078125
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.365502,98.078125
08:00:30,912810TX6,TSRYS5743665,D,S,T,2024-03-28,1000000.00,4.365502,98.078125
