tradeTime,cusip,issueSymbolIdentifier,priceType,reportingSideCode,contraPartyTypeCode,tradeDate,reportedTradeVolume,lastSaleYield,lastSalePrice
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.650217,99.669921875
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.650217,99.669921875
08:00:05,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.651282,99.65625
08:00:05,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.651282,99.65625
08:00:05,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.651434,99.654296875
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.65265,99.638671875
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.648241,99.6953125
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.648393,99.693359375
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.649305,99.681640625
08:00:05,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.649305,99.681640625
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.649305,99.681640625
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.649609,99.677734375
08:00:05,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.649609,99.677734375
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.649609,99.677734375
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.648849,99.6875
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.631696,99.908203125
08:00:05,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.631999,99.904296875
08:00:05,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.631999,99.904296875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.620943,100.046875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.620943,100.046875
08:00:09,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.617465,100.091796875
08:00:09,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.617616,100.08984375
08:00:09,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.618826,100.07421875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.618826,100.07421875
08:00:09,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.618826,100.07421875
08:00:09,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.618826,100.07421875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.618826,100.07421875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.617465,100.091796875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.617465,100.091796875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.617465,100.091796875
08:00:09,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.617465,100.091796875
08:00:09,912810UB2,TSRYS5810883,D,S,A,2024-07-05,7790000.00,4.62338,100.015625
08:00:09,912810UB2,TSRYS5810883,D,S,A,2024-07-05,6600000.00,4.648849,99.6875
08:00:09,912810UB2,TSRYS5810883,D,S,A,2024-07-05,754000.00,4.650065,99.671875
08:00:11,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.650065,99.671875
08:00:11,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.641556,99.78125
08:00:11,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.630635,99.921875
08:00:13,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.65402,99.62109375
08:00:15,912810UB2,TSRYS5810883,D,S,A,2024-07-05,10000.00,4.650065,99.721875
08:00:17,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.650065,99.671875
08:00:17,912810UB2,TSRYS5810883,D,B,A,2024-07-05,940000.00,4.650065,99.671875
08:00:18,912810UB2,TSRYS5810883,D,S,C,2024-07-05,30000.00,4.642133,99.7738375
08:00:18,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.648849,99.6875
08:00:24,912810UB2,TSRYS5810883,D,S,D,2024-07-05,1000000.00,4.637003,99.83984375
08:00:28,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.641556,99.78125
08:00:28,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.629422,99.9375
08:00:28,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.629422,99.9375
08:00:29,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.618523,100.078125
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.650065,99.671875
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.650065,99.671875
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.649913,99.673828125
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.652498,99.640625
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.652498,99.640625
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.654933,99.609375
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.654933,99.609375
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.650065,99.671875
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.651282,99.65625
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.652498,99.640625
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.646417,99.71875
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.649761,99.67578125
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.641556,99.78125
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.6367,99.84375
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.638369,99.822265625
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.638217,99.82421875
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.635486,99.859375
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.631696,99.908203125
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.626999,99.96875
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.626696,99.97265625
08:00:30,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.626847,99.970703125
08:00:34,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.630635,99.921875
08:00:34,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.629422,99.9375
08:00:34,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.629422,99.9375
08:00:34,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.625787,99.984375
08:00:34,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.625787,99.984375
08:00:34,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.625787,99.984375
08:00:34,912810UB2,TSRYS5810883,D,S,T,2024-07-05,1000000.00,4.626999,99.96875
